Match_Status,Team1,Team2,Score,Goals
81' (Ended early),EGEMENPROJETAKIMI,ARGENTINA,2 - 0,23' Éder Militao | 49' Erling Haaland | 66' Erling Haaland
FT,EGEMENPROJETAKIMI,TONTONSPOR 58,2 - 1,4' Erling Haaland | 19' Erling Haaland | 45' Virgil van Dijk
FT,EGEMENPROJETAKIMI,FENERBAHCE SK,3 - 2,28' Virgil van Dijk | 40' Erling Haaland | 57' Vini Jr.
FT,EGEMENPROJETAKIMI,FENERBAHCE AS,2 - 1,24' Ousmane Dembele | 90' Erling Haaland
FT,EGEMENPROJETAKIMI,QARABAG FK,0 - 1,38' Rodri | 83' Andrew Robertson
FT,EGEMENPROJETAKIMI,WMW,2 - 1,29' Cristiano Ronaldo | 86' Virgil van Dijk | 90' Kylian Mbappe
60' (Ended early),EGEMENPROJETAKIMI,AKHISARSPOR,3 - 0,10' Erling Haaland | 45' Kevin De Bruyne | 60' Ousmane Dembele
FT,EGEMENPROJETAKIMI,ESPERANCE TUNIS,1 - 1,10' Ousmane Dembele
FT,EGEMENPROJETAKIMI,CILGINTURKLER,1 - 0,4' Erling Haaland
FT,EGEMENPROJETAKIMI,PIRRATAS,3 - 2,4' Ruben Dias | 16' Erling Haaland | 51' Kevin De Bruyne
77' (Ended early),EGEMENPROJETAKIMI,MANCHESTER CITY,4 - 0,7' Erling Haaland | 49' Erling Haaland | 55' Vini Jr. | 77' Erling Haaland
38' (Ended early),EGEMENPROJETAKIMI,REAL MADRID,0 - 3,
FT,EGEMENPROJETAKIMI,REAL TABATA,3 - 1,21' Erling Haaland | 49' Erling Haaland | 90' Kingsley Coman
FT,EGEMENPROJETAKIMI,Dream FC,5 - 0,26' Erling Haaland | 38' Erling Haaland | 65' Jude Bellingham | 85' Erling Haaland | 90' Erling Haaland
FT,EGEMENPROJETAKIMI,JESUS,3 - 2,62' Erling Haaland | 78' Bernardo Silva | 90' Declan Rice
31' (Ended early),EGEMENPROJETAKIMI,FREE KURDISTAN,0 - 3,
18' (Ended early),EGEMENPROJETAKIMI,IBRAHIM,2 - 5,7' Erling Haaland | 13' Erling Haaland
FT,EGEMENPROJETAKIMI,FCB,1 - 1,89' Erling Haaland
70' (Ended early),EGEMENPROJETAKIMI,HISOR CITI,0 - 2,
FT,EGEMENPROJETAKIMI,FRANCE,5 - 5,9' Erling Haaland | 37' Erling Haaland | 45' Erling Haaland | 49' Erling Haaland | 83' Bernardo Silva
FT,EGEMENPROJETAKIMI,AOWS,3 - 2,28' Erling Haaland | 45' Erling Haaland | 61' Erling Haaland
FT,EGEMENPROJETAKIMI,SIAR C.F,2 - 1,6' Erling Haaland | 17' Erling Haaland
80' (Ended early),EGEMENPROJETAKIMI,MILAN,3 - 0,28' Erling Haaland | 53' Erling Haaland | 80' Erling Haaland
FT,EGEMENPROJETAKIMI,ALI,1 - 1,26' Ousmane Dembele
32' (Ended early),EGEMENPROJETAKIMI,FENERBAHCE,0 - 3,30' Éder Militao
68' (Ended early),EGEMENPROJETAKIMI,TRABZONSPOR,4 - 1,24' Erling Haaland | 34' Ousmane Dembele | 68' Ousmane Dembele
FT,EGEMENPROJETAKIMI,Dream FC,4 - 0,20' Erling Haaland | 29' Erling Haaland | 36' Erling Haaland | 48' Erling Haaland
FT,EGEMENPROJETAKIMI,HUNGARY BUDAPEST,0 - 2,
FT,EGEMENPROJETAKIMI,Dream FC,3 - 3,10' Kevin De Bruyne | 29' Erling Haaland | 41' Erling Haaland
FT,EGEMENPROJETAKIMI,SERVETSS,3 - 0,15' Erling Haaland | 45' Virgil van Dijk | 79' Vini Jr.
FT,EGEMENPROJETAKIMI,WIDZEW LODZ,1 - 2,85' Jude Bellingham
71' (Ended early),EGEMENPROJETAKIMI,FENERBAHCE,3 - 0,71' Erling Haaland
FT,EGEMENPROJETAKIMI,FUNGIUTU,2 - 1,33' Erling Haaland | 43' Erling Haaland
56' (Ended early),EGEMENPROJETAKIMI,EIRHANDER,4 - 1,9' Ousmane Dembele | 32' Vini Jr. | 45' Erling Haaland | 56' Virgil van Dijk
35' (Ended early),EGEMENPROJETAKIMI,ESPIRONCE DE TUNIS,3 - 0,14' Jude Bellingham | 27' Kevin De Bruyne | 35' Erling Haaland
FT,EGEMENPROJETAKIMI,KAVALA FC,2 - 1,27' Vini Jr. | 90' Erling Haaland
FT,EGEMENPROJETAKIMI,EL CHAPO FC,3 - 3,44' Erling Haaland | 69' Erling Haaland | 81' Erling Haaland
42' (Ended early),EGEMENPROJETAKIMI,GUMUSHANE,0 - 3,
55' (Ended early),EGEMENPROJETAKIMI,KOOSPAA,1 - 3,30' Erling Haaland
FT,EGEMENPROJETAKIMI,SPORTING DZ,2 - 2,17' Erling Haaland | 86' Andrew Robertson
FT,EGEMENPROJETAKIMI,MANCHESTER C,2 - 1,13' Breel Embolo | 60' Breel Embolo
87' (Ended early),EGEMENPROJETAKIMI,ARSENAL,5 - 2,22' Breel Embolo | 81' Denis Zakaria | 87' Wilfried Singo
FT,EGEMENPROJETAKIMI,A MADRID,2 - 0,10' Denis Zakaria | 56' (PEN) Breel Embolo
23' (Ended early),EGEMENPROJETAKIMI,Dream FC,4 - 1,18' Breel Embolo
64' (Ended early),EGEMENPROJETAKIMI,A MADRID,3 - 1,18' Breel Embolo | 45' Krepin Diatta | 64' Krepin Diatta
FT,EGEMENPROJETAKIMI,MANCHESTER C,3 - 2,14' Krepin Diatta | 50' Krepin Diatta | 72' Breel Embolo
FT,EGEMENPROJETAKIMI,NAPOLI,2 - 2,45' Breel Embolo | 49' Breel Embolo | 67' Takumi Minamino
6' (Ended early),EGEMENPROJETAKIMI,Dream FC,0 - 3,
65' (Ended early),EGEMENPROJETAKIMI,MANCHESTER C,2 - 3,7' Breel Embolo | 49' Breel Embolo
